procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,12
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,13
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,14
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,15
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,16
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,17
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,18
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,3,8.356757402420044,0.9789473684210527,19
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.8894736842105263,0
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9157894736842105,1
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9052631578947369,2
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9157894736842105,3
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9157894736842105,4
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,5
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,6
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,7
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,8
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,9
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9263157894736842,10
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9315789473684211,11
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,12
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,13
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,14
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,15
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,16
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,17
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9368421052631579,18
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,2,187.43652606010437,0.9526315789473684,19
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,3,299.9271831512451,0.8945454545454545,0
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,3,299.9271831512451,0.8915151515151515,1
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,3,299.9271831512451,0.8886868686868686,2
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,3,299.9271831512451,0.8703030303030304,3
